method,z,significance,profit-min,profit-max,profit-mean,profit-median,profit-var,profit-std,profit-skew,profit-kurt,excessProfit-min,excessProfit-max,excessProfit-mean,excessProfit-median,excessProfit-var,excessProfit-std,excessProfit-skew,excessProfit-kurt,success-min,success-max,success-mean,success-median,success-var,success-std,success-skew,success-kurt,frequency-min,frequency-max,frequency-mean,frequency-median,frequency-var,frequency-std,frequency-skew,frequency-kurt,fee-min,fee-max,fee-mean,fee-median,fee-var,fee-std,fee-skew,fee-kurt,frequencyBuy-min,frequencyBuy-max,frequencyBuy-mean,frequencyBuy-median,frequencyBuy-var,frequencyBuy-std,frequencyBuy-skew,frequencyBuy-kurt,frequencySell-min,frequencySell-max,frequencySell-mean,frequencySell-median,frequencySell-var,frequencySell-std,frequencySell-skew,frequencySell-kurt
ARBR-ROC,-12.70982835,,-0.236019711,1.543702617,0.060676232,0.052351942,0.00654532,0.080903152,1.853472171,17.3394427,-3.143803903,1.406218426,-0.025817497,0.000499896,0.04126187,0.20313018,-2.886404721,23.34579157,0,0.961501481,0.593310079,0.622668759,0.023563323,0.153503496,-1.23431389,2.323080919,0,937,220.4239,205,18337.61557,135.4164524,0.64244609,0.187875595,0,872208.26,4484.904217,2223.507283,279014789,16703.73578,24.87628429,959.1437588,0,309,77.4389,73,1974.260493,44.4326512,0.685016368,0.487013791,0,709,142.985,130,9200.75265,95.92055385,0.846630654,1.008401759
KDJ-ARBR,-12.99054501,,-0.23520543,0.654347107,0.060572614,0.058168806,0.005194662,0.072074002,0.724872811,5.191869554,-3.08573889,0.797928306,-0.025921114,0.005787549,0.039815539,0.199538313,-3.199754397,24.93951858,0,0.959961602,0.647068968,0.695639572,0.029447065,0.171601472,-1.366146375,1.969707009,0,917,193.8116,181,14186.76098,119.1081902,0.656384158,0.39590072,0,468558.0451,3678.736247,1948.393344,120222704.5,10964.61146,16.53408544,456.2391549,0,267,74.1118,70,1828.676568,42.76302805,0.527985791,-0.011389192,0,656,119.6998,109,6456.181498,80.35036713,0.924826714,1.475174981
VR-WR,-13.87983561,,-0.175895172,0.898580748,0.0571544,0.033946011,0.009988302,0.099941494,1.359323703,3.394585537,-3.041743257,0.860003995,-0.029339329,0.003554649,0.044681907,0.211380953,-2.853384158,20.76728586,0,0.499937508,0.008732516,0,0.001079707,0.032858893,5.58403721,42.23894299,0,90,20.3673,19,176.8890796,13.2999654,0.64320246,0.222093383,0,33219.08614,798.1999267,485.1894713,3855269.351,1963.483983,7.596867301,65.51147466,0,87,20.2146,19,174.011148,13.19132851,0.634782951,0.185000625,0,11,0.1527,0,0.242806991,0.492754493,5.754788192,61.74373301
VR-ROC,-13.4296996,,-0.244857051,1.368491969,0.056504619,0.036389878,0.014560404,0.1206665,1.21761102,4.897438944,-3.047919588,1.509914232,-0.02998911,-0.000226367,0.049864853,0.223304396,-2.329165361,17.11452975,0,0.916590284,0.050537943,0,0.009419583,0.097054538,3.43889297,16.72678339,0,103,20.6624,19,160.5088771,12.66920981,0.779091413,1.057112284,0,45922.38682,832.4133627,492.2562414,4352773.38,2086.330123,8.270132325,85.24677155,0,95,19.9218,19,152.5683416,12.3518558,0.744962146,0.778741013,0,10,0.7406,0,1.184030043,1.088131446,1.962722625,5.182225637
DMI-VR,-14.19118004,,-0.24473143,1.642104369,0.055787766,0.037607045,0.013217851,0.114968913,2.563719299,21.35347307,-2.790019328,1.605581944,-0.030705963,-0.004400366,0.046817522,0.216373572,-1.942534497,16.72148642,0,0.833194468,0.027800552,0,0.004383326,0.066206691,4.118424756,25.93903067,0,86,17.4542,16,118.4895513,10.88529059,0.736035021,0.823889367,0,34876.4655,792.7328455,455.6397805,4051113.331,2012.73777,7.84278484,71.70265235,0,84,17.0473,16,114.0080635,10.67745585,0.715946939,0.655698073,0,7,0.4069,0,0.570189409,0.755108872,2.345978426,7.088757213
PSY,-14.67918141,,-0.264238809,1.200323693,0.055062519,0.041970084,0.011083046,0.105276044,1.254917918,5.072609086,-2.972930613,1.297335003,-0.03143121,-0.007176318,0.045847801,0.214120997,-2.377772796,17.90976969,0,0.619018142,0.265804996,0.26300502,0.00343672,0.058623546,0.045978853,2.546230819,2,4538,1037.8923,935,474783.5715,689.0454059,0.83566057,0.656471539,16.5968618,3752999.876,19498.67878,8342.788814,6079948458,77974.02425,23.05910542,799.9506491,2,2276,521.9641,473,115915.1963,340.4632085,0.843344333,0.775667497,0,2262,515.9282,459,122135.3046,349.4786182,0.841278236,0.603250694
RSI-BOLL,-15.59240891,,-0.244312303,1.472302418,0.052803779,0.04254361,0.012722172,0.112792605,2.303436572,15.46354631,-2.741824621,1.562710164,-0.03368995,-0.009967092,0.04668467,0.216066356,-1.950809462,17.1539782,0,0.972195217,0.628181138,0.677770247,0.033874786,0.184051041,-1.437135896,2.182626765,1,567,132.688,120,7401.454801,86.03170812,0.725762312,0.290575394,10.5645627,611304.0654,3208.032899,1428.437184,145848068.8,12076.75738,23.27671391,861.7345087,1,289,72.8668,68,1832.168475,42.80383715,0.599758215,0.053422784,0,285,59.8212,52,1951.615592,44.17709352,0.855610566,0.577164298
PSY-ARBR,-17.93690184,,-0.23559252,1.115863724,0.051028865,0.047494632,0.004791737,0.069222374,1.644550751,16.82437917,-3.081543245,0.890320916,-0.035464863,-0.003146053,0.039093245,0.197720118,-3.18659762,25.45607168,0,0.969215858,0.605634699,0.633200953,0.023439591,0.153099939,-1.090563778,2.040350365,1,1068,256.4582,243,23591.68262,153.5958418,0.583590391,0.179278656,10.2188761,680518.5971,4694.901597,2456.034626,223972029.9,14965.6951,20.46669216,670.0395036,1,319,87.6258,83,2415.915566,49.15196401,0.569540309,0.133974637,0,849,168.8324,157,12018.66718,109.629682,0.784082571,0.923196066
MACD-ARBR,-17.81745531,,-0.236131513,0.982829095,0.050050464,0.037723583,0.006947451,0.083351373,2.636729526,17.14565809,-2.966442299,0.972799471,-0.036443265,-0.010156898,0.04183533,0.204536867,-2.683349491,21.38275166,0,0.928505107,0.477433554,0.499993056,0.024303635,0.15589623,-0.743776476,1.214506411,0,432,115.9776,109,5092.670765,71.36295093,0.513562819,-0.276631443,0,518141.4878,2506.014136,1287.202221,78049641.92,8834.57084,28.64193292,1345.309668,0,189,53.17,51,981.1048105,31.32259265,0.423345284,-0.464157885,0,274,62.8076,58,1759.603343,41.94762619,0.658491401,0.203726789
DMI-RSI,-17.40148898,,-0.268395514,2.456147458,0.049989765,0.035218535,0.010334999,0.101661196,3.373986021,44.09682155,-2.799902971,2.090148063,-0.036503964,-0.011301237,0.044005527,0.209774944,-2.23884208,19.43031854,0,0.944391978,0.425980308,0.454524794,0.030052029,0.173355212,-0.63430781,0.124561306,0,309,63.8121,57,1775.296523,42.1342678,1.171718249,2.037711553,0,420920.8049,1907.378705,839.1049377,57610618.57,7590.165912,29.29526199,1338.458965,0,150,38.3234,36,481.8285953,21.95059442,0.808579247,0.941616438,0,173,25.4887,20,460.1306854,21.45065699,1.447088912,3.08335269
